N (ppm),P (ppm),K (ppm),Temp (°C),Humidity (%),pH,Soil Moisture (%),Crop
130.7671227283584,56.488512768831285,140.9635602814366,26.016828244849755,72.84653483962843,6.231613346455752,30.235041405988294,Lettuce
124.53493977657786,53.825650731014875,107.85747224123581,21.743184681693222,69.96653627837078,6.859033789838087,30.35192373238688,Lettuce
116.58225265539028,52.336418299912765,133.616175535798,18.002299363431455,79.84864798350534,6.495716168993203,34.004604197235764,Lettuce
134.31368693611714,46.68377385393942,113.54428369023401,21.072839230966366,79.87329120482656,6.270304858222995,33.52967457349669,Lettuce
118.1628912095085,55.1672023237811,136.89029196290775,27.58669591069036,67.40534116550104,6.167404523532563,28.325906694570456,Lettuce
107.1950295387965,47.35787227869477,101.06597856706026,22.797359241837576,71.45281895338604,6.0998121586593,31.232024485375266,Lettuce
107.53266416876396,45.43890975320023,104.2512067817489,25.176592656012645,69.47571031848436,6.486029061007856,29.82830994079047,Lettuce
111.92425278605688,51.296130316614445,101.77691312872363,24.671318748223218,60.62585763263603,6.154200574479481,26.450557664903148,Lettuce
134.61058704944008,59.87124109078454,123.99197111954958,20.048248916718006,70.11176596295522,6.729094862862139,29.46716803949683,Lettuce
120.06029629617203,45.859085267663126,144.1419324938159,20.582126442473484,75.4131369584092,6.08873214434913,31.785451128533385,Lettuce
127.12991613905625,41.063265297918356,132.29717611064046,21.44083007442486,77.80029292091352,6.50693225188182,32.69045509408275,Lettuce
131.17841610702683,47.20060154432028,127.0718813678271,21.72623419779758,76.08874107506684,6.997249090624891,32.96650335015748,Lettuce
107.3425590166012,57.21725791319656,144.83515637369487,22.580343038530675,79.69782681915092,6.492288946240853,34.04632859982988,Lettuce
105.50447917241081,43.760300613669656,106.14044055148133,23.906115500263596,60.23244467973646,6.319727967243672,26.19881078929514,Lettuce
135.25779008260406,59.940550472754026,117.96021770121754,28.825992120540725,79.45945111046541,6.54457108993768,34.26925145218659,Lettuce
146.00428450363074,57.38749625209141,127.42763455214059,22.35521724010944,62.77533989851555,6.823274390301528,26.384829072554776,Lettuce
111.03980294537288,42.584279301679096,104.69997067908781,20.621627214856343,74.69945334666392,6.512215305940149,31.588729267294507,Lettuce
125.20823404230606,58.729712671523664,109.50124446369584,20.28730064840878,72.52816454916335,6.225632684072929,31.727477979932,Lettuce
134.68653709942038,43.22158450857826,101.71884580597347,28.19113442229268,61.41657083345922,6.0467813172529565,26.353236851084656,Lettuce
121.82014774358522,53.70521021742282,126.58290790326944,27.380062852343716,61.92816064831008,6.6699313279342345,26.796166474408277,Lettuce
108.82303336699434,46.96718497627633,135.50399056445377,24.72622092571573,78.02235899418918,6.250282814879419,33.9510013413483,Lettuce
144.18452833481206,53.76219190941468,144.74888845388938,25.242564246219345,60.72495333057004,6.665794095804062,26.43761598753074,Lettuce
148.41862915560603,44.57226929276402,113.13240892091392,27.85709119196663,76.36042555888247,6.614130754400108,32.24224914826357,Lettuce
129.9790699502376,59.47315636313395,122.45892182980688,19.363682329364465,60.946925303402956,6.144430890045268,27.36441906081598,Lettuce
115.51164582853404,52.12242442269945,128.0153722166897,23.009855238289877,63.168457107233046,6.438977848525605,26.42388148462258,Lettuce
134.3311102859149,51.15356661826393,107.76580941944988,24.359359664318724,71.05444962076687,6.18836685592224,30.16603522745441,Lettuce
105.00928638987448,41.502333263840356,148.6635061297972,28.442183218600213,61.674156873733125,6.247128752454983,27.168258230744083,Lettuce
117.8099489934044,52.03332542055081,120.96373589326222,18.31045127072327,68.0948655697026,6.643655389611853,29.74218771104629,Lettuce
142.69120650690058,55.62420249701693,100.27032936522508,19.799104655911833,75.31749462032997,6.031645969662899,31.17587065055156,Lettuce
143.23365298547543,50.92755148716338,107.27055850293688,19.428170039757415,75.60972496881885,6.948628052989199,32.16861442042967,Lettuce
149.26892506421163,55.728018900201285,104.667900275017,29.80044593686756,79.73095670459567,6.0842657763132815,34.63578941876007,Lettuce
104.96716296555635,52.74693028449028,133.20411813201835,21.525561420409993,69.07985244042676,6.947319879150239,29.944839742270283,Lettuce
105.38180865061135,46.93987868833541,108.29780017665698,28.33449142350438,72.3873437774172,6.838276327694703,30.311374039601464,Lettuce
137.7080582173329,40.10870787081903,137.3517644456948,27.7621707137034,78.73555281467605,6.1798324897412265,32.612659843545345,Lettuce
111.63582645127637,52.64506068854324,131.2684575071494,26.52836398609049,65.53214753330134,6.119929990118858,27.794771556576627,Lettuce
149.86236052388676,53.09637373715262,128.94292934307018,24.29438865327753,72.71981241623719,6.99721503448885,31.591201519493858,Lettuce
134.76114263845912,55.71907675316034,104.18135212871027,19.236013605995232,70.56443731485051,6.937137280350719,31.034778655716167,Lettuce
147.0097850829808,44.38160096822002,137.84102213956731,18.131258901569836,69.35718679996997,6.961215658651559,30.594020123190884,Lettuce
140.23178026920579,41.567749520415354,104.69846788313087,19.843377724625668,78.51041767076109,6.726559689575567,32.59239946836491,Lettuce
127.1680605938801,51.10665929687481,149.30890630086103,22.030641934402215,77.27054916592472,6.773059077621448,31.941411280367607,Lettuce
117.0032373211426,51.970664251181866,132.851172707707,26.717807955239024,79.31382726227807,6.996237670091701,34.70318097708316,Lettuce
118.52756656812727,49.91708387419473,104.59570341553628,20.90217056203428,60.868047652168194,6.320950863186438,25.47241326693494,Lettuce
137.66771450183228,49.35110317746269,146.67273144578053,24.915968182590277,75.78404451974635,6.989985656232733,33.028329347302716,Lettuce
122.27316753247432,45.85497413396065,123.73683924097182,22.765951041141072,76.77620506647082,6.991010268956093,32.07299090401685,Lettuce
128.09847812066212,46.00218824094236,145.7579336011994,20.102299067890314,73.00652140236778,6.286358719684516,32.067685893930104,Lettuce
106.30178304730552,55.98616612472682,140.96996893735437,29.17520084334764,65.28079123957477,6.8623904605462815,28.583391334233937,Lettuce
145.4826936191547,49.156814514571145,121.97737807614544,23.323297980184265,66.31773281574449,6.284759513495973,27.559246251962477,Lettuce
123.11048431602723,41.97388436535395,136.1462253956717,22.403210286748617,75.16730554971133,6.90999227704301,32.052346299927976,Lettuce
137.47417153317724,57.31170197130887,107.90284659770728,21.515729733561344,64.6208788339762,6.2782855355722615,27.454227861783323,Lettuce
103.38453310803658,58.92731681978061,103.71206566252943,19.577206988308703,66.39197479869183,6.6508673382038905,27.85719624142462,Lettuce
119.1282595881463,55.22885215216033,135.80444967633878,23.322709264579775,76.77455987921957,6.836903818327996,32.23341357321362,Lettuce
133.63256102153474,45.75579922325805,108.16961122515809,25.443011548718857,74.19139252990666,6.838126627471933,32.19308855350957,Lettuce
102.98579673384832,48.23877176381668,114.47436832752349,18.560812385599707,70.01811456875346,6.347691695615371,30.848109648123238,Lettuce
113.81305482606508,48.58545895695798,138.60648574623292,20.757895920815432,76.63294710093389,6.422462748685281,31.670718688190426,Lettuce
146.53927172541387,52.42133729834212,140.73471560396007,20.594472890404482,73.04522789489594,6.227116287676848,31.640504661725142,Lettuce
148.79958794149712,56.02256119122626,105.99441276683893,18.213142259442854,60.20095563615669,6.3394671193474235,25.514672888937604,Lettuce
110.67263309339774,50.668616816558256,108.83605311611461,24.602696227332608,65.14146385938811,6.652273770220127,28.820398932382872,Lettuce
141.89689961228206,57.4575212991572,127.03501576827752,24.384740842362888,79.14187605196409,6.012012718008334,33.901598624166496,Lettuce
129.50435966312494,46.82686809607264,137.4386874063741,23.411529840670525,60.850138102907444,6.010463870508908,25.821314689632736,Lettuce
106.21921266758974,48.808156534417535,112.96841635979123,21.22553593662615,74.73744159134998,6.02386799744853,31.13793902146553,Lettuce
132.24545682708091,52.336317348476385,130.4641443124145,29.248491603660685,75.76237375375621,6.852108465020029,32.100126206479175,Lettuce
119.43311446591389,57.359377916189786,128.91253592160882,20.718335934943575,62.72919727109114,6.657868586093578,26.498504549501565,Lettuce
106.14626521536756,44.83953524083715,110.99673479013282,19.843183534544764,77.69754637819305,6.16500948396087,34.04779027978763,Lettuce
124.70903058005933,43.661969119632985,135.21140623696675,26.75528729866506,77.67160345945972,6.476665195295558,33.581717996195664,Lettuce
133.39831296757728,48.88541464880418,149.15054890156674,22.875000239874268,61.925827833172576,6.552484276506469,26.595360465722116,Lettuce
137.9676604868412,51.319908990381606,129.18551992464418,29.44197176273087,63.16199676139878,6.441101099295949,27.924670873282622,Lettuce
135.53240308031772,58.82362336692511,112.60384494061213,24.230249443973964,65.95834122707159,6.072148607239374,28.29339299500136,Lettuce
119.82057748468961,59.43221679594922,128.3431749841338,19.197068054618658,67.68644120843089,6.71677172898864,29.514001276038286,Lettuce
117.42427673286238,46.26846298927275,129.97059272747208,22.622764676900765,64.5646740779158,6.829035971873424,27.195608657603785,Lettuce
103.0416167841952,40.070000127650104,147.0868111890082,25.704581036388568,62.25007838157417,6.164870822663314,26.786572818161503,Lettuce
128.8543450721274,41.79303304954913,139.05477475648894,22.91410447199301,65.17472270016047,6.140949322277313,28.88141206486231,Lettuce
112.75342711336623,53.55654750090285,131.31374788917083,21.041984573740304,61.24562960964777,6.605095482918329,25.554809263935244,Lettuce
141.97789912406975,44.33594819182599,129.74631511058567,20.373901987493653,60.91195987595156,6.108727758543794,26.76266853623717,Lettuce
134.11303876528396,40.95051946506852,148.82341928115142,23.29187025014913,69.33572054051831,6.232152298610256,30.09773490185748,Lettuce
124.5128568784848,54.225098449796185,120.34584642869406,29.959244728631504,77.25146205992371,6.854121854693721,32.741464117274624,Lettuce
136.34520653074523,48.81118265219767,105.91124569415288,28.419386715583496,72.50122497201258,6.741837236658028,31.693798826245015,Lettuce
104.78739946381924,49.043519509126895,130.68121978470592,24.09456276165461,70.63303681021391,6.181766988363329,31.006928333528137,Lettuce
105.63953636718443,43.80038390572306,105.76224400503222,27.035408209164856,73.25892462377445,6.313564022294081,31.04131671660118,Lettuce
117.86852938333136,42.65253564077475,130.4676405717141,23.461489154858228,78.87731277425051,6.763071640985762,32.68122447336299,Lettuce
125.05004667424743,43.40261544509103,116.2385590521156,23.164744845653104,72.77948266706258,6.617360546442914,31.78921025430907,Lettuce
132.7826289884876,52.94071277673429,145.02654642583488,22.698002646512347,67.02727930190126,6.940584572658303,29.359578506836062,Lettuce
145.58378471054834,50.53607099877977,119.27549517627119,26.937251793905652,63.009304327416544,6.180117191591963,28.11344359849505,Lettuce
100.03392801215334,48.0473978877027,136.55037133697363,28.162849938541726,71.3774196687371,6.866698628328808,31.233391318573137,Lettuce
130.3031349917635,49.065354942370966,118.80965249439069,24.76668774062275,69.26114084307437,6.8764450815496625,29.924852982076786,Lettuce
122.12753113938706,46.22114926143857,135.40902592058978,25.53087418416323,67.78406814523511,6.653485153440098,29.227906338657355,Lettuce
104.39368532671,54.85244582362961,129.261152532497,20.663167481123462,79.26005956569958,6.961719372731358,32.904458511802744,Lettuce
112.62772926767659,47.440877320294035,117.89825096656391,22.288392563260377,61.004873799456995,6.571663692954086,26.46000046445073,Lettuce
144.45508227940655,50.610607540662926,119.31381450228314,22.21877350058815,63.61661382204414,6.202861456873491,27.335242152008654,Lettuce
103.39004015364088,44.192635870555364,136.9234332304473,25.34634241135703,70.50119056844966,6.664052615993844,30.320643988389563,Lettuce
125.92799667992125,54.62998193950266,110.4880565706666,26.457530656493102,76.75979344206976,6.682666997850166,33.1995685741134,Lettuce
